Frame,latitude,longitude,depth,mag
9,8.4648,-73.3433,128.95,4.6
9,15.5777,-95.0517,35.5,4.5
9,34.3645,78.2373,34.51,4.6
9,-52.7424,20.9087,10,4.9
9,-29.9483,-176.3448,10,5.2
9,-23.6341,-66.7288,210.43,4.5
9,53.7856,158.9296,10,4.6
10,-16.2769,-176.4044,368.42,4.7
10,-21.8157,168.8301,10,5.1
10,-26.904,-175.5446,10,5.8
10,-27.1754,-176.1577,10,5
10,-22.5275,-175.3964,35,4.5
10,37.3192,20.6178,10,4.8
10,-26.9697,-176.3356,10,5.1
10,-17.1478,167.1508,10,4.8
10,34.5801,26.6262,36.37,5
10,-30.3998,-177.7543,35,4.9
10,-26.7845,-175.755,10,4.7
10,-27.1889,-176.2623,10,4.9
10,44.9045,151.8082,10,4.7
10,-26.9036,-176.1001,10,4.8
10,-23.9879,-175.8225,35,4.9
10,-27.0308,-176.1351,10,4.8
10,-27.0705,-176.0543,10,4.9
10,-26.7842,-176.106,10,4.9
10,-21.8103,-174.5563,35,4.7
10,61.4708,-149.8991,49.8,4.6
10,-26.9635,-176.1522,10,4.9
10,2.4011,126.9031,35,4.5
10,-21.4205,-173.9721,10,5.3
10,2.7148,127.2509,35,4.8
10,-3.9716,130.0359,60.46,4.6
11,-52.4508,17.9397,10,4.6
11,-18.1651,-178.1768,539.93,4.7
11,-3.3932,101.2762,39,5.4
11,2.1705,126.7096,68.22,4.5
11,55.0239,164.6495,10,4.6
11,-21.66,168.7341,10,4.8
11,-1.6756,-78.0484,146.11,4.6
11,-60.1324,-27.1924,10,4.5
11,-19.0067,169.5613,245.75,4.6
11,-8.0637,118.7758,10,4.6
11,39.6095,75.7112,18.28,5.3
11,-26.6602,-176.193,10,4.5
11,-26.8175,-175.8455,10,5.2
11,-5.5282,131.3873,69.01,4.6
11,-26.7722,-175.8987,10,4.7
11,-18.0553,-177.9233,582.91,4.9
11,-26.6648,-175.8795,10,4.9
11,53.0743,159.2833,76.42,5
12,-6.8394,104.1856,38.71,5.1
12,-7.6083,127.4766,155.42,4.7
12,18.0641,120.5825,49.24,4.7
12,-5.9174,151.7176,10,4.6
12,-8.4524,119.7053,91.37,4.6
12,-19.1637,-177.4718,572.15,4.7
12,-4.8184,145.1994,130.14,4.5
12,-5.8486,152.2245,10,5.3
12,-5.7533,152.134,27.37,5.2
12,-8.827,67.8958,10,4.6
12,-5.4307,151.3607,55.09,4.6
12,37.4866,20.4045,10,4.5
12,-7.2344,129.2095,117.01,5
12,-27.23,-177.3798,10,4.9
12,3.623,128.6402,10,5.2
12,3.6734,128.7477,10,5
12,3.6653,128.7606,10,4.6
12,50.4727,148.9614,567.72,4.5
12,-12.7855,45.3977,10,5.1
12,30.0724,138.7955,426.24,4.5
12,37.3396,141.1411,42.78,4.5
13,-59.1232,-25.6036,63.71,4.6
13,37.2822,141.3582,10,4.9
13,2.3985,126.8711,58.41,4.6
13,-10.0806,161.3925,92.77,5.3
13,-6.1491,151.1737,10,4.6
13,-20.6909,-173.3228,10,4.5
13,61.2993,-150.0647,44.8,5
13,-5.6391,105.3543,10,4.5
13,-12.7526,-14.4265,10,4.9
13,0.6022,126.4407,40.65,4.8
13,-22.6486,-174.2725,10,5.1
13,2.7695,126.9296,35,4.5
13,69.624,-145.0273,5.6,4.9
13,-12.0971,166.7056,72.58,4.9
13,-22.5773,169.9595,10,4.5
13,1.6012,126.3971,42.99,4.6
13,3.5044,128.5974,10,4.5
13,36.1902,139.8748,53.43,5
13,55.3853,164.4538,10,4.6
13,38.9006,70.7737,10,4.7
13,23.8628,64.4653,10,4.7
13,52.5102,-170.1084,46.33,4.5
13,21.3348,101.7691,10,4.6
14,40.2673,77.1905,10,4.6
14,51.7247,-176.817,65.24,4.5
14,-17.6744,-70.6526,96.3,5.2
14,1.7028,99.0705,15.03,4.9
14,-5.6832,130.242,170.44,4.7
14,-34.1195,54.8781,10,4.9
14,14.7293,56.0797,10,4.6
14,-5.9732,146.5817,35,5.1
14,-59.5497,-24.9956,10,4.7
14,-29.1948,-177.0773,35,4.6
14,12.536,-87.6458,80.44,4.5
14,11.2646,-86.6365,28.16,5.3
14,10.4753,-63.0995,10,4.9
14,-22.1094,168.9961,10,4.7
14,10.4999,-63.1354,10,4.5
14,-10.1306,-108.3459,10,4.6
14,33.7155,141.1944,35,4.5
15,-22.1338,169.8081,8.71,4.7
15,28.1278,104.9626,10,4.5
15,-3.2362,146.597,10,4.8
15,-13.336,166.8752,35,6.6
15,-17.8347,-178.5787,585.01,4.5
15,5.8113,126.8985,61.83,5.7
15,-8.9422,-79.0533,57.59,5.2
15,28.9996,141.6031,49,4.5
15,37.2318,-73.0097,10,4.6
15,-7.0491,129.0075,46.62,4.9
15,-36.0844,-98.3607,10,4.6
15,19.4966,-68.2711,84,4.5
15,-4.0039,129.032,120.05,4.6
15,-22.0616,169.4063,10,5.1
15,-21.7795,169.0165,10,5.3
15,-55.3384,-26.8191,10,4.5
15,-13.3012,166.6701,49.82,4.5
15,-15.1184,-173.3482,10,5.1
15,-43.829,-16.018,10,5.1
15,3.4827,128.6337,11,5.5
15,3.5808,128.6696,10,5.1
16,-3.1504,146.4245,10,4.5
16,-15.1434,-173.3731,9.06,4.5
16,24.8046,96.3344,10,4.7
16,72.3782,5.5829,10,4.6
16,-28.7531,-12.8044,10,4.6
16,42.0217,142.5733,63.72,4.8
16,7.4036,94.3739,88,5.4
16,-14.3605,167.3224,182.41,5.1
16,50.7626,-129.6421,10,4.9
16,-16.1823,-173.0719,35,4.8
16,-4.4618,134.0336,10,4.7
16,36.4365,22.32,10,4.5
16,-0.848,-22.1873,10,4.8
16,-4.1918,68.1968,10,5.1
17,17.9774,123.2243,35,4.6
17,29.6356,-114.1301,10,5.3
17,41.7386,81.6901,10,4.7
17,-18.2617,-178.4251,608.18,4.5
17,-3.2307,146.3889,10,6.2
17,45.7734,153.5739,10,4.6
17,-3.1026,146.5888,10,5
17,-3.1497,146.356,10,5.1
17,4.0359,126.0547,133.52,4.9
17,-3.3713,146.5879,10,4.8
17,-3.1029,146.4315,10,4.9
17,-3.2566,146.5611,10,4.6
17,-3.0649,146.4442,10,5.1
17,-3.1482,146.593,10,4.5
17,-3.0945,146.4441,10,4.6
17,-3.1956,146.5021,10,5.7
17,-3.122,146.5755,10,4.6
17,-36.3178,52.6426,10,4.5
17,-3.0631,146.6528,10,4.8
17,-3.2162,146.6848,10,4.6
17,-52.5002,12.6438,10,5.3
17,-23.42,-179.7515,528.66,4.7
17,3.4907,128.8751,10,4.6
17,39.4526,73.1223,10,4.5
17,14.1919,56.6282,10,4.6
17,-11.4094,165.568,10,4.6
17,-15.7457,-173.8995,46.52,4.6
18,35.8998,140.5698,49.97,5.1
18,-19.2036,168.7446,38.67,6
18,14.0245,92.9974,10,4.5
18,41.7819,81.5616,10,4.5
18,-30.7905,-71.5834,61.54,4.6
18,3.4879,128.8633,10,4.9
18,-52.3309,13.0105,10,4.7
18,8.4296,-103.2277,10,5.9
18,-37.6525,177.6011,158.24,4.5
18,-14.4673,167.9563,10,4.6
